id,alias
1,Agilent
1,"Agilent Technologies,"
1,"Agilent Technologies, Inc."
2,AA
2,Alcoa Inc. Common
3,AA-B
3,Alcoa Inc. Depository
4,AAC
4,"AAC Holdings,"
4,"AAC Holdings, Inc."
5,AAN
5,Aaron's
5,"Aaron's, Inc."
5,"Aaron's, Inc. Common"
6,AAP
6,Advance Auto
6,Advance Auto Parts
7,AAT
7,American Assets
7,"American Assets Trust,"
8,AAV
8,Advantage Oil
8,Advantage Oil &
9,AB
9,Allianceberstein
9,Allianceberstein Holding
9,Allianceberstein Holding L.P.
10,ABB
10,ABB Ltd
10,ABB Ltd Common
11,ABBV
11,AbbVie
11,AbbVie Inc.
11,AbbVie Inc. Common
12,ABC
12,AmerisourceBergen
12,AmerisourceBergen Corporation
12,AmerisourceBergen Corporation (Holding
13,ABEV
13,Ambev
13,Ambev S.A.
13,Ambev S.A. American
14,ABG
14,Asbury
14,Asbury Automotive
14,Asbury Automotive Group
15,ABM
15,ABM Industries
15,ABM Industries Incorporated
16,ABR
17,ABR-A
18,ABR-B
19,ABR-C
20,ABRN
21,ABT
21,Abbott
21,Abbott Laboratories
21,Abbott Laboratories Common
22,ABX
22,Barrick
22,Barrick Gold
22,Barrick Gold Corporation
23,ACC
23,American Campus
23,American Campus Communities
24,ACCO
24,Acco Brands
24,Acco Brands Corporation
25,ACE
25,Ace Limited
25,Ace Limited Common
26,ACG
26,Alliancebernstein Income
26,Alliancebernstein Income Fund
27,ACH
27,Aluminum Corporation
27,Aluminum Corporation of
28,ACI
28,"Arch Coal,"
28,"Arch Coal, Inc."
29,ACM
29,AECOM
29,AECOM Common
29,AECOM Common Stock
30,ACMP
30,Access Midstream
30,"Access Midstream Partners,"
31,ACN
31,Accenture
31,Accenture plc.
31,Accenture plc. Class
32,ACP
32,Avenue Income
32,Avenue Income Credit
33,ACRE
33,Ares Commercial
33,Ares Commercial Real
34,ACT
34,Actavis
34,Actavis plc
34,Actavis plc Ordinary
35,ACW
35,Accuride
35,Accuride Corporation
35,Accuride Corporation Common
36,ADC
36,Agree Realty
36,Agree Realty Corporation
37,ADM
37,Archer
38,ADPT
38,Adeptus
38,Adeptus Health
38,Adeptus Health Inc.
39,ADS
39,Alliance Data
39,Alliance Data Systems
40,ADT
40,ADT Corporation
40,ADT Corporation Common
41,ADX
41,Adams Express
41,Adams Express Company
42,AEB
43,AEC
43,Associated Estates
43,Associated Estates Realty
44,AED
45,AEE
45,Ameren
45,Ameren Corporation
45,Ameren Corporation Common
46,AEG
46,AEGON N.V. Common
47,AEH
48,AEK
48,Aegon NV
48,Aegon NV 8.00%
49,AEL
49,American Equity
49,American Equity Investment
50,AEM
50,Agnico
50,Agnico Eagle
50,Agnico Eagle Mines
51,AEO
51,American Eagle
51,"American Eagle Outfitters,"
52,AEP
52,American Electric
52,American Electric Power
53,AER
53,Aercap
53,Aercap Holdings
53,Aercap Holdings N.V.
54,AES
54,The AES
54,The AES Corporation
55,AES-C
55,AES Corporation
55,AES Corporation (The)
56,AET
56,Aetna
56,Aetna Inc.
56,Aetna Inc. Common
57,AF
58,AF-C
59,AFA
60,AFB
60,AllianceBernstein National
60,AllianceBernstein National Municipal
61,AFC
61,Allied Capital
61,Allied Capital Corporation
62,AFG
63,AFGE
64,AFL
64,AFLAC Incorporated Common
65,AFM
66,AFQ
67,AFSD
67,Aflac Incorporated 5.50%
68,AFSI-A
69,AFSI-B
70,AFSI-C
71,AFT
71,Apollo Senior
71,Apollo Senior Floating
72,AFW
73,AG
73,First Majestic
73,First Majestic Silver
74,AGC
75,AGCO
75,AGCO Corporation
75,AGCO Corporation Common
76,AGD
76,Alpine Global Dynamic
77,AGI
77,Alamos
77,Alamos Gold
77,Alamos Gold Inc
78,AGM
79,AGM-A
80,AGM-B
81,AGM-C
82,AGM.A
83,AGN
83,Allergan
83,"Allergan, Inc."
83,"Allergan, Inc. Common"
84,AGO
85,AGO-B
86,AGO-E
87,AGO-F
88,AGRO
88,Adecoagro
88,Adecoagro S.A.
88,Adecoagro S.A. Common
89,AGU
89,Agrium
89,Agrium Inc.
89,Agrium Inc. Common
90,AGX
90,Argan
90,"Argan, Inc."
90,"Argan, Inc. Common"
91,AHC
91,A.H.
91,A.H. Belo
91,A.H. Belo Corporation
92,AHH
92,Armada
92,Armada Hoffler
92,"Armada Hoffler Properties,"
93,AHL
94,AHL-A
95,AHL-B
96,AHL-C
97,AHP
97,"Ashford Hospitality Prime,"
98,AHS
98,AMN
98,AMN Healthcare
98,AMN Healthcare Services
99,AHT
100,AHT-A
101,AHT-D
102,AHT-E
103,AI
104,AIB
105,AIF
105,Apollo Tactical
105,Apollo Tactical Income
106,AIG
107,AIG.W
108,AIN
108,Albany International
108,Albany International Corporation
109,AIR
109,AAR
109,AAR Corp.
109,AAR Corp. Common
110,AIT
110,Applied Industrial
110,"Applied Industrial Technologies,"
111,AIV
112,AIV-A
113,AIV-Z
114,AIW
115,AIY
116,AIZ
116,Assurant
116,"Assurant, Inc."
116,"Assurant, Inc. Common"
117,AJG
117,Arthur
117,Arthur J.
117,Arthur J. Gallagher
118,AKO.A
119,AKO.B
120,AKP
120,Alliance California
120,Alliance California Municipal
121,AKR
121,Acadia
121,Acadia Realty
121,Acadia Realty Trust
122,AK
122,AKS
122,AK Steel
122,AK Steel Holding
123,AL
123,Air Lease
123,Air Lease Corporation
124,ALB
124,Albemarle
124,Albemarle Corporation
124,Albemarle Corporation Common
125,ALDW
125,"Alon USA Partners,"
126,ALE
126,Allete
126,"Allete, Inc."
127,ALEX
127,Alexander &
127,"Alexander & Baldwin,"
128,ALG
128,"Alamo Group,"
128,"Alamo Group, Inc."
129,ALJ
129,"Alon USA Energy,"
130,ALK
130,Alaska Air
130,"Alaska Air Group,"
131,ALL
132,ALL-A
133,ALL-B
134,ALL-C
135,ALL-D
135,The Allstate
135,The Allstate Corporation
136,ALL-E
136,Allstate Corporation Depositary
137,ALL-F
138,ALLE
138,Allegion
138,Allegion plc
138,Allegion plc Ordinary
139,ALLY
139,Ally Financial Inc.
140,GMAC
140,ALLY-A
140,GMAC Capital
140,GMAC Capital Trust
141,ALLY-B
141,Ally Financial Inc
142,ALP-N
143,ALP-O
144,ALP-P
145,ALR
145,Alere Inc. Common
146,ALR-B
146,Alere Inc. Inverness
147,ALSN
147,Allison
147,Allison Transmission
147,"Allison Transmission Holdings,"
148,ALU
148,Alcatel
149,ALV
149,Autoliv
149,"Autoliv, Inc."
149,"Autoliv, Inc. Common"
150,ALX
150,"Alexander's, Inc."
150,"Alexander's, Inc. Common"
151,AM
151,Antero Midstream
151,Antero Midstream Partners
152,AMBR
152,"Amber Road,"
152,"Amber Road, Inc."
153,AMC
153,AMC Entertainment
153,"AMC Entertainment Holdings,"
154,AME
154,AMETEK
154,"AMETEK, Inc."
155,AMFW
155,AMEC
155,AMEC Foster
155,AMEC Foster Wheeler
156,AMG
157,AMH
158,AMH-A
159,AMH-B
160,AMH-C
161,AMID
161,American Midstream
161,"American Midstream Partners,"
162,AMP
162,Ameriprise
162,"Ameriprise Financial,"
162,"Ameriprise Financial, Inc."
163,AMRC
163,Ameresco
163,"Ameresco, Inc."
163,"Ameresco, Inc. Class"
164,AMRE
164,AmREIT
164,"AmREIT, Inc."
164,"AmREIT, Inc. Common"
165,AMT
166,AMT-A
167,AMTD
167,TD Ameritrade
167,TD Ameritrade Holding
168,AMTG
169,AMTG-A
170,AMX
170,"America Movil,"
170,"America Movil, S.A.B."
171,AN
171,AutoNation
171,"AutoNation, Inc."
171,"AutoNation, Inc. Common"
