id,ticker,stock_name
1,A,"Agilent Technologies, Inc. Common Stock"
2,AA,Alcoa Inc. Common Stock
3,AA-B,Alcoa Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1
4,AAC,"AAC Holdings, Inc. Common Stock"
5,AAN,"Aaron's, Inc. Common Stock"
6,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
7,AAT,"American Assets Trust, Inc. Common Stock"
8,AAV,Advantage Oil & Gas Ltd  Ordinary Shares
9,AB,Allianceberstein Holding L.P.  Units
10,ABB,ABB Ltd Common Stock
11,ABBV,AbbVie Inc. Common Stock
12,ABC,AmerisourceBergen Corporation (Holding Co) Common Stock
13,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
14,ABG,Asbury Automotive Group Inc Common Stock
15,ABM,ABM Industries Incorporated Common Stock
16,ABR,Arbor Realty Trust Common Stock
17,ABR-A,Arbor Realty Trust Preferred Series A
18,ABR-B,Arbor Realty Trust Cumulative Redeemable Preferred Series B
19,ABR-C,Arbor Realty Trust Cumulative Redeemable Preferred Series C
20,ABRN,Arbor Realty Trust 7.375% Senior Notes due 2021
21,ABT,Abbott Laboratories Common Stock
22,ABX,Barrick Gold Corporation Common Stock
23,ACC,American Campus Communities Inc Common Stock
24,ACCO,Acco Brands Corporation Common Stock
25,ACE,Ace Limited Common Stock
26,ACG,Alliancebernstein Income Fund
27,ACH,Aluminum Corporation of China Limited American Depositary Shares
28,ACI,"Arch Coal, Inc. Common Stock"
29,ACM,AECOM Common Stock
30,ACMP,"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests"
31,ACN,Accenture plc. Class A Ordinary Shares (Ireland)
32,ACP,Avenue Income Credit Strategies Fund Common Shares
33,ACRE,Ares Commercial Real Estate Corporation Common Stock
34,ACT,Actavis plc Ordinary Shares
35,ACW,Accuride Corporation Common Stock
36,ADC,Agree Realty Corporation Common Stock
37,ADM,Archer
38,ADPT,Adeptus Health Inc. Common Stock
39,ADS,Alliance Data Systems Corporation Common Stock
40,ADT,ADT Corporation Common Stock
41,ADX,Adams Express Company (The)
42,AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
43,AEC,Associated Estates Realty Corporation Common Stock
44,AED,AEGON N.V. Perp. Cap. Securities (Netherlands)
45,AEE,Ameren Corporation Common Stock
46,AEG,AEGON N.V. Common Stock
47,AEH,AEGON N.V. Perp. Cap Secs.
48,AEK,Aegon NV 8.00% Non
49,AEL,American Equity Investment Life Holding Company Common Stock
50,AEM,Agnico Eagle Mines Limited Common Stock
51,AEO,"American Eagle Outfitters, Inc. Common Stock"
52,AEP,"American Electric Power Company, Inc. Common Stock"
53,AER,Aercap Holdings N.V. Ordinary Shares
54,AES,The AES Corporation Common Stock
55,AES-C,AES Corporation (The) Class C Preferred Stock
56,AET,Aetna Inc. Common Stock
57,AF,Astoria Financial Corporation Common Stock
58,AF-C,Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%
59,AFA,"American Financial Group, Inc. 5.75% Senior Notes due 2042"
60,AFB,AllianceBernstein National Municipal Income Fund Inc
61,AFC,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047"
62,AFG,"American Financial Group, Inc. Common Stock"
63,AFGE,"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054"
64,AFL,AFLAC Incorporated Common Stock
65,AFM,"Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022"
66,AFQ,"American Financial Group, Inc. 7% Senior Notes due 2050"
67,AFSD,"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052"
68,AFSI-A,"AmTrust Financial Services, Inc. Preferred Series A"
69,AFSI-B,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B"
70,AFSI-C,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C"
71,AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
72,AFW,"American Financial Group, Inc. 6 3/8% Senior Notes due 2042"
73,AG,First Majestic Silver Corp. Ordinary Shares (Canada)
74,AGC,Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest
75,AGCO,AGCO Corporation Common Stock
